"LGA","lambda_mean","lambda_median","lambda_lower_95","lambda_upper_95","z_mean","z_median","z_lower_95","z_upper_95","pi_mean","pi_median","pi_lower_95","pi_upper_95","MMR_mean","MMR_median","MMR_lower_95","MMR_upper_95","corr_mean","corr_median","corr_lower_95","corr_upper_95"
"Birnin_Gwari",31.2187321159685,29.2339917444925,18.9505746337769,54.0662009005777,26.4468991224749,26.0990579392593,17.4842367158524,37.3968650475391,0.883797145313122,0.926606256514524,0.516622330884142,0.996233257973122,818.315389671521,766.29074035367,496.738522510534,1417.20054785263,1.1809896721967,1.0792070450307,1.00378098401829,1.93564997148661
"Chikun",27.7295902150791,22.462175304392,13.0221412158871,79.8612922918796,18.8802450145197,18.555773710753,11.4070324715433,28.2191210156649,0.805078229360049,0.872210920961042,0.230376822599733,0.991216383707218,270.770337028406,219.335761199024,127.156930142438,779.819278311489,1.48475883256548,1.1465116704778,1.00886145188646,4.34071443808266
"Giwa",44.6151470986194,42.501258217425,29.5048126626292,71.552005763277,38.8260036789365,38.4884100462562,27.5856207736755,52.017596239906,0.895542342735934,0.933971219941767,0.576823084147747,0.996727793867801,1832.99700487344,1746.14865313989,1212.19443971361,2939.68799356109,1.14908315177707,1.07069680376485,1.00328294861685,1.7336338081502
"Igabi",72.8819950838643,68.4151540761924,51.0869479506095,123.49779902239,62.7981413261045,62.4828514554747,48.215223088647,79.3372794271573,0.895094575444938,0.942806275209276,0.518629323699937,0.99757036284092,892.068483278633,837.394786734302,625.299240521536,1511.60096722632,1.16118865636231,1.06066328395837,1.00243555467323,1.92815939025778
"Ikara",72.6975764225888,63.6648497871464,41.3274673702443,158.365980857955,48.3235076638469,48.0144393048528,35.6348360487284,62.8899296276323,0.735215729239426,0.767628707215891,0.309503238775577,0.988061649718053,1121.35703258659,982.027607390813,637.474431131332,2442.78853706548,1.5075651105472,1.30271313540122,1.01208259655195,3.23098396021812
"Jaba",57.7722689342142,49.0932006415448,29.9655080496702,134.088522688464,36.3732502264672,36.0295197151862,25.5425772642305,49.1760240178265,0.718686087200876,0.750196074073549,0.275959128178972,0.987688727641432,1661.55504556267,1411.94134718277,861.820766455859,3856.44298787643,1.59278803995611,1.33298484831628,1.01246472903264,3.6237250299105
"Jemaa",16.2373341357098,14.3933681718285,7.61969564501005,37.2325945794387,12.5079948766304,12.1844977933095,6.7181053273911,20.0555975745625,0.838519401724255,0.893766441798144,0.344303264744588,0.993400632341516,372.501356634774,330.198856889848,174.803754186971,854.154498266544,1.30737912594968,1.11886053585798,1.0066432086347,2.90441625880473
"Kachia",32.9143785831926,30.7515453084135,20.0430078503945,57.6407612500428,27.6535183358943,27.3191962580293,18.4627305223305,38.7580190667073,0.878508465636212,0.922716269725828,0.498812530958135,0.995874555102221,991.695648785556,926.53044014503,603.88694939423,1736.69060711187,1.19231887214346,1.08375676555214,1.00414253469644,2.00476118368438
"Kaduna_North",19.3915001929953,17.494443839373,9.80057918876048,41.5724684329531,15.4061415541985,15.0731864094488,8.78232901893232,23.8696324273061,0.85200046629326,0.905742104110852,0.380594177524145,0.99464222217535,613.073038033365,553.096548826209,309.850748933306,1314.33665611613,1.26569839438267,1.10406703570625,1.00538663823554,2.62747056864331
"Kaduna_South",83.6728644824184,77.5994337055716,56.8401141779575,151.11570404291,66.3988733468797,66.0808758653203,51.3857740945269,83.3427171707094,0.83175993793404,0.8698023002593,0.445073890403327,0.991409790378927,2009.917474956,1864.0267524759,1365.3642608205,3629.97127174897,1.26080024514423,1.14968654337417,1.0086646407018,2.24681793781942
