"LGA","lambda_mean","lambda_median","lambda_lower_95","lambda_upper_95","z_mean","z_median","z_lower_95","z_upper_95","pi_mean","pi_median","pi_lower_95","pi_upper_95","MMR_mean","MMR_median","MMR_lower_95","MMR_upper_95","corr_mean","corr_median","corr_lower_95","corr_upper_95"
"Birnin_Gwari",37.4452574638035,32.2573623273143,19.6458506564946,85.7543668380802,26.4130521792841,26.0826468723478,17.3231442929033,37.378491285623,0.789642534267968,0.845990671664391,0.315554035265908,0.993284704502478,981.52706327139,845.540296915185,514.96331996054,2247.82088697458,1.42024106865149,1.18204613065723,1.00676069556602,3.16902935419396
"Chikun",31.0897561927581,23.5652526952013,13.1562301007915,100.757117285835,18.6167451811828,18.271719313507,11.2258360821998,27.8985378550161,0.754272975420596,0.822489692834748,0.180231277726398,0.9900457456944,303.581253713095,230.106949469791,128.466264044444,983.860143402355,1.69041943334884,1.21582070720494,1.01005433774035,5.54842651721162
"Giwa",47.085444489046,44.2982871594921,30.2986488250161,82.9178301126934,38.8938069176179,38.5522040803985,27.6467700070561,52.1209043797877,0.857345743013957,0.900920450070966,0.488692823490028,0.994599497596179,1934.48826988685,1819.97893013525,1244.8089081765,3406.6487310063,1.21162703072478,1.10997591399023,1.00542982619323,2.04627518962466
"Igabi",79.7048806803721,73.168958093997,53.4711140629998,150.719788063516,62.7386259492968,62.3891194790539,48.2445102051008,79.2618710967558,0.832835523866186,0.872651619786861,0.41928578476096,0.989475156681533,975.579934888275,895.580882423464,654.481200281515,1844.79544753386,1.27154769749248,1.1459326692641,1.01063679390788,2.38500811702206
"Ikara",61.3646879603518,56.783648193581,39.8428707047914,111.585477784431,48.5528274978642,48.2306434585226,35.8177471892946,63.0804309056924,0.833287823737317,0.871575083472609,0.445989153917664,0.989546784536066,946.547708782227,875.885364701234,614.574590541283,1721.20126152138,1.26452891701401,1.1473480816096,1.01056363946358,2.24220699370644
"Jaba",45.5960459184017,42.2125232275915,28.558445862136,83.7820673880334,36.552806940747,36.2104763046276,25.7236539848047,49.4027422060572,0.843519343337279,0.883198858179767,0.450258600304229,0.99170867570958,1311.36168876623,1214.05013596754,821.353059020305,2409.60792027706,1.24796814145582,1.1322478406064,1.00836064511031,2.22094591746109
"Jemaa",19.7255266761977,14.5910838455341,7.41218311218178,69.822124291628,12.3092458852228,11.9900045307641,6.54325559230142,19.9170818671638,0.79936012863891,0.905828470592724,0.170623060317762,0.998339522398044,452.52412654732,334.734660370133,170.043200554755,1601.79225261821,1.63303951474065,1.10396176811501,1.00166323937368,5.86087248797779
"Kachia",34.865429631869,32.4519275661654,20.6532996897243,64.7056890050283,27.4900300782446,27.1569912999867,18.2537662371062,38.5637534615207,0.827226714241641,0.865371855108791,0.442740883727948,0.989888925043626,1050.47995275291,977.762204464158,622.274772212242,1949.55375128136,1.2704568036683,1.15557259471356,1.01021435304771,2.2586574602733
"Kaduna_North",20.3873546794712,18.1425809443736,10.0722880994463,44.9042456984124,15.3748184747407,15.0483844969616,8.76645890232331,23.8709756854092,0.819873269452283,0.868240437399453,0.351506886893171,0.988084219967657,644.557530176137,573.587763021613,318.440976903141,1419.67264301019,1.33341086423771,1.15175469481295,1.01205947812121,2.84489447374305
"Kaduna_South",82.8920920639957,75.9777404795809,55.7839127610997,157.397217380231,66.4402233278086,66.0759766510797,51.4372238639142,83.3771352379109,0.846012408858317,0.896835126417272,0.428759792449159,0.994408286811143,1991.16243247648,1825.0718347245,1339.99310019456,3780.8603742549,1.24831202879859,1.11503215088693,1.00562315626597,2.33230824721135
"Kagarko",17.6582832448056,15.6298308555162,8.33397082122731,38.4112015709036,13.2562493334968,12.9250154261127,7.20760932239909,21.1945388145652,0.818770700856202,0.865632523996128,0.360962736990251,0.988015774845936,694.66102457929,614.863526967594,327.850937105716,1511.06221758079,1.33782757299207,1.15522461585014,1.01212958887829,2.77036906456051
"Kajuru",31.7830384997451,26.9237421190128,15.572960643948,78.7611192231888,21.6031819816027,21.2873700081387,13.5196966506951,31.4829482892581,0.771436430771479,0.834549192810746,0.27846703111146,0.994022927423467,773.309939166547,655.078883674277,378.904151920875,1916.32893487077,1.47887203503742,1.19825171315819,1.00601301279041,3.59108938681246
"Kaura",6.42431428944829,3.33906049847967,0.727512573036967,35.6190082425093,2.63208770477439,2.33703272435475,0.508782318353386,6.45295017821266,0.730898588645834,0.836540883208281,0.0434370300053187,0.980975993434064,84.5638316368078,43.9523561732219,9.57631397968892,468.856235915615,3.94134355122959,1.19539883834082,1.0193929379449,23.0218318307421
