"","LGA","Ward","time","count"
"2","Sanga","Aboro",2023-10-01,2
"14","Kachia","Awon",2023-10-01,2
"17","Kaduna_South","Badiko",2023-10-01,2
"18","Kauru","Badurum",2023-10-01,2
"22","Igabi","Birnin_Yero",2023-10-01,2
"23","Kachia","Bishini",2023-10-01,4
"39","Giwa","Danmahawayi",2023-10-01,2
"42","Kauru","Dawaki",2023-10-01,3
"45","Kachia","Doka",2023-10-01,2
"54","Giwa","Galadimawa",2023-10-01,2
"55","Soba","Gamagira",2023-10-01,4
"60","Markafi","Gazara",2023-10-01,2
"70","Markafi","Gubuchi",2023-10-01,3
"78","Kaduna_North","Hayin Banki",2023-10-01,2
"85","Jemaa","Jagindi",2023-10-01,2
"86","Ikara","Jamfalan",2023-10-01,2
"89","Sabon_Gari","Jushi",2023-10-01,5
"92","Kaura","Kadarko",2023-10-01,2
"99","Giwa","Kakangi",2023-10-01,2
"100","Chikun","Kakau",2023-10-01,4
"114","Kudan","Kauran Wali South",2023-10-01,2
"118","Lere","Kayarda",2023-10-01,2
"119","Igabi","Kerawa",2023-10-01,2
"120","Giwa","Kidandan",2023-10-01,2
"122","Kaura","Kpak",2023-10-01,2
"124","Kudan","Kudan",2023-10-01,2
"125","Lere","Kudaru",2023-10-01,2
"136","Birnin_Gwari","Kuyello",2023-10-01,2
"140","Soba","Kwasallo",2023-10-01,2
"152","Soba","Maigana",2023-10-01,2
"154","Kauru","Makami",2023-10-01,2
"155","Markafi","Makarfi",2023-10-01,4
"156","Kaduna_South","Makera",2023-10-01,2
"159","Kajuru","Maro",2023-10-01,2
"175","Birnin_Gwari","Randagi",2023-10-01,3
"179","Igabi","Rigasa",2023-10-01,2
"183","Jaba","Sab-Zuro",2023-10-01,2
"189","Kaduna_South","Sabon Gari South",2023-10-01,7
"195","Kaduna_North","Sardauna",2023-10-01,2
"204","Kaduna_South","Television",2023-10-01,2
"205","Kaduna_South","Tudun Nupawa",2023-10-01,2
"206","Markafi","Tudun Wada",2023-10-01,2
"207","Zaria","Tudun Wada",2023-10-01,2
"208","Kaduna_South","Tudun Wada Nrth",2023-10-01,3
"209","Kaduna_South","Tudun Wada South",2023-10-01,2
"210","Zaria","Tukur Tukur",2023-10-01,2
"214","Zangon_Kataf","Ung Rimi",2023-10-01,2
"216","Zaria","Unguwan Juma",2023-10-01,2
"227","Sabon_Gari","Zabi",2023-10-01,3
"229","Igabi","Zangon Aya",2023-10-01,3
"230","Kaura","Zankan",2023-10-01,2
"234","Lere","Abadawa",2023-11-01,3
"235","Sanga","Aboro",2023-11-01,4
"243","Kagarko","Aribi",2023-11-01,3
"249","Kaduna_South","Badiko",2023-11-01,2
"252","Sabon_Gari","Basawa",2023-11-01,5
"253","Birnin_Gwari","Birnin Gwari 2",2023-11-01,3
"261","Sabon_Gari","Chikaji",2023-11-01,3
"274","Soba","Danwata",2023-11-01,2
"282","Jaba","Fada",2023-11-01,4
"286","Giwa","Galadimawa",2023-11-01,2
"287","Soba","Gamagira",2023-11-01,4
"288","Giwa","Gangara",2023-11-01,2
"292","Markafi","Gazara",2023-11-01,3
"296","Jemaa","Gidan Waya",2023-11-01,3
"298","Markafi","Gimi",2023-11-01,2
"304","Lere","Gure/Kahugu",2023-11-01,2
"307","Igabi","Gwaraji",2023-11-01,2
"309","Sabon_Gari","Hanwa",2023-11-01,2
"332","Kajuru","Kajuru",2023-11-01,2
"334","Giwa","Kakangi",2023-11-01,2
"338","Kajuru","Kallah",2023-11-01,2
"349","Kudan","Kauran Wali North",2023-11-01,2
"351","Kauru","Kauru East",2023-11-01,2
"360","Kudan","Kudan",2023-11-01,2
"361","Lere","Kudaru",2023-11-01,2
"362","Kajuru","Kufana",2023-11-01,2
"364","Chikun","Kujama",2023-11-01,2
"369","Kachia","Kurimin Musa",2023-11-01,2
"371","Birnin_Gwari","Kutemeshi",2023-11-01,2
"379","Lere","Lazuru",2023-11-01,2
"380","Lere","Lere",2023-11-01,2
"384","Birnin_Gwari","Magajin Gari 1",2023-11-01,2
"385","Kubau","Mah",2023-11-01,4
"389","Kauru","Makami",2023-11-01,2
"390","Kaduna_South","Makera",2023-11-01,2
"392","Kaura","Manchok",2023-11-01,2
"395","Sabon_Gari","Muchia",2023-11-01,4
"409","Lere","Ramin Kura",2023-11-01,2
"423","Kaduna_South","Sabon Gari  North",2023-11-01,2
"424","Kaduna_South","Sabon Gari South",2023-11-01,4
"425","Kaduna_South","Sabon Gari West",2023-11-01,2
"431","Kaduna_North","Sardauna",2023-11-01,2
"438","Jemaa","Takau",2023-11-01,2
"441","Kaduna_South","Tudun Nupawa",2023-11-01,6
"444","Kaduna_South","Tudun Wada Nrth",2023-11-01,2
"446","Zaria","Tukur Tukur",2023-11-01,2
"452","Zaria","Unguwan Juma",2023-11-01,2
"463","Kudan","Zabi",2023-11-01,2
"466","Igabi","Zangon Aya",2023-11-01,3
"472","Sanga","Aboro",2023-12-01,2
"480","Jemaa","Asso",2023-12-01,4
"482","Ikara","Auchan",2023-12-01,2
"486","Kaduna_South","Badiko",2023-12-01,2
"488","Jemaa","Barde",2023-12-01,2
"490","Sabon_Gari","Basawa",2023-12-01,10
"492","Kachia","Bishini",2023-12-01,2
"498","Sabon_Gari","Chikaji",2023-12-01,8
"502","Kauru","Damakasuwa",2023-12-01,2
"508","Markafi","Danguzuri",2023-12-01,3
"518","Jaba","Fada",2023-12-01,3
"519","Kaura","Fada",2023-12-01,2
"522","Chikun","G/Gwada",2023-12-01,2
"524","Soba","Gamagira",2023-12-01,4
"529","Birnin_Gwari","Gayam",2023-12-01,2
"532","Zangon_Kataf","Gidan Jatau",2023-12-01,2
"536","Markafi","Gimi",2023-12-01,2
"543","Markafi","Gwanki",2023-12-01,2
"548","Kubau","Haskiya",2023-12-01,3
"552","Kagarko","Iddah",2023-12-01,3
"553","Kajuru","Idon",2023-12-01,2
"557","Jemaa","Jagindi",2023-12-01,2
"558","Ikara","Jamfalan",2023-12-01,2
"560","Sabon_Gari","Jushi",2023-12-01,5
"561","Kaduna_North","Kabala",2023-12-01,2
"567","Kagarko","Kagarko South",2023-12-01,2
"568","Jemaa","Kagoma",2023-12-01,2
"569","Kajuru","Kajuru",2023-12-01,2
