"LGA","Ward","count"
"Lere","Abadawa",16
"Sanga","Aboro",17
"Igabi","Afaka",17
"Kajuru","Afogo",18
"Kaura","Agban",13
"Kachia","Agunu",18
"Kubau","Anchau",18
"Sabon_Gari","Anguwan Gabas",10
"Kachia","Ankwa",18
"Sanga","Arak",18
"Kagarko","Aribi",15
"Jemaa","Asso",18
"Jemaa","Atuku",6
"Jemaa","Atutku",10
"Ikara","Auchan",18
"Kachia","Awon",17
"Sanga","Ayu",18
"Kaduna_North","Badarawa",18
"Kaduna_South","Badiko",18
"Kauru","Badurum",17
"Jemaa","Barde",17
"Kaduna_South","Barnawa",17
"Sabon_Gari","Basawa",15
"Birnin_Gwari","Birnin Gwari 2",1
"Birnin_Gwari","Birnin_gwari_2",5
"Igabi","Birnin_yero",2
"Igabi","Birnin_Yero",12
"Kachia","Bishini",18
"Kauru","Bital",15
"Sanga","Bokana",18
"Sabon_Gari","Bomo",18
"Kaura","Bondong",15
"Kajuru","Buda",18
"Sabon_Gari","Chikaji",17
"Chikun","Chikun",15
"Jaba","Chori",17
"Jaba","Daddu",18
"Kaduna_North","Dadi Riba",12
"Kaduna_North","Dadi_riba",9
"Kauru","Damakasuwa",18
"Birnin_Gwari","Damari",15
"Kubau","Damau",17
"Zaria","Dambo",18
"Lere","Dan-Alhaji",10
"Lere","Danalhaji",10
"Markafi","Dandamisa",18
"Markafi","Danguziri",9
"Markafi","Danguzuri",11
"Giwa","Danmahawayi",18
"Soba","Danwata",18
"Kauru","Dari",12
"Kauru","Dawaki",18
"Sabon_Gari","Dogarawa",16
"Birnin_Gwari","Dogon Dawa",12
"Birnin_Gwari","Dogon_dawa",5
"Kachia","Doka",17
"Kudan","Doka",9
"Kudan","Doka_kudan",1
"Jaba","Dura_bitaro",6
"Kubau","Dutsen-Wai",12
"Zaria","Dutsen Abba",12
"Zaria","Dutsen_abba",9
"Kubau","Dutsen_sawai",9
"Jaba","Fada",12
"Kaura","Fada",17
"Jaba","Fada_jaba",9
"Jemaa","Fadan_kagoma",9
"Jaba","Fai",17
"Igabi","Fanshanu",17
"Chikun","G/Gwada",13
"Giwa","Galadimawa",17
"Soba","Gamagira",18
"Giwa","Gangara",18
"Kudan","Garu",10
"Soba","Garu",12
"Lere","Garu/ Mariri",12
"Lere","Garu_mariri",9
"Soba","Garun_Gwanki",8
"Birnin_Gwari","Gayam",17
"Markafi","Gazara",18
"Kauru","Geshere",16
"Zangon_Kataf","Gidan Jatau",8
"Kachia","Gidan Tagwai",12
"Jemaa","Gidan Waya",10
"Zango_Kataf","Gidan_jatau",3
"Kachia","Gidan_tagwai",8
"Jemaa","Gidan_waya",6
